Data,Label
অসাধারণ নিশো বস্ আর অমি ভাইকেও।,1
আমার দেখা বেস্ট নাটক,1
নাটক টা অনেক সুন্দর হয়েছেআফরান নিশো ভাইয়া আপনিই বেস্টI love you ভাইয়া এবং তানজিল আপুকে,1
সত্যি অসাধারণ একটি রিলেশন,1
মজা পাইছি ভাষা গুলো কেমন লাগলো,1
খুব সুন্দর হয়েছে,1
অনেক হাসির একটা নাটক এবং রুমান্টিক,1
বিউটিফুল,1
ভাললোই লাগল,1
কখনো নাটক দেখে চোখে পানি আসেনি but এই নাটকটা দেখে বৃষ্টির মতো পানি নামিয়েছে দুচোখ দিয়ে !!!! গল্পটা ভালো ছিল !!!!,1
নাটক টা অনেক ভাল ছিল। সত্যি কারের ভালবাসার প্রমাণ পেল।,1
ভাইয়া তোমাদের আমার খুব ভালো লাগছে,1
ভালো ছিলো,1
গল্প টা খুব সুন্দর ছিল।,1
অনেকদিন বাদে সুন্দর একটা নাটক দেখলাম।,1
নাটক টা দেখলাম অসাধারন হইছে  নিশু ভাই ত আমার পছন্দের একটি অসাধারন মানুষ আর তিশা আমি তুমার চেহেরাটাই ভুলতে পারিনা জানিনা তুমি কার ভাগ্যে আছু আমার খুব পছন্দের একটি বাগানের গোলাপ নাম তার তানজিনা তিশা গোলাপের মতোই অপরুপ,1
শাহাব উদ্দিন শান্ত কুমিল্লা প্রবাসী এক কথায় অসাধারণ নাটক,1
শেষের গানটা খুব সুন্দর,1
Awesome boss & tisha also...  চোখের পানি চলে আসলো,1
টাংগাইল বাসীর গর্ব,1
ভালো  লাগছে অসাধারণ হয়েছে নিসো ভাই,1
অসাধারণ ভাই।।।নিশো ভাই তোমার দ্বারাই এটা সম্ভব।।।,1
ভালো লাগলো,1
খুব ভাল লাগলো,1
অসাধারণ অসাধারণ অপুরব,1
অসাধারণ অভিনয়।  অসাধারণ নাটক।  ভালো লাগার মতো একটি নাটক।,1
অনেক সুন্দর লাগছে,1
এতো ভালো লাগলো বলে বোঝাতে পারবোনা বাট শুরুর দিকে অনেক হেসেছিতারপর কান্না ,1
সত্যি অসাধারণ গল্পের অসাধারণ একটি নাটক। শেষ দৃশ্যে কোনোভাবেই চোখের পানি আটকাতে পারিনি। তবে নাটকের সংলাপে তুই তোকারি করাটা হয়ত মেনে নেয়া যায় কিন্তু  কুত্তার বাচ্চা বলে গালি দেয়া এবং গায়ে হাত তোলাটা কোনোভাবেই মেনে নেয়া যায় না।,1
অসাধারণ একটা নাটক,1
অনেক ভালো একটা নাটক ছিলো।অনেক ভালো লাগলো। ধন্যবাদ পরিচালক সাহেব কে।আরফান নিশো বস,1
চমৎকার নাটক,1
